handbook_path,owner,last_reviewed,next_review_due,update_status,source_links,handbook_version,last_updated_meta
gen-ai/mcp-agentic-tooling-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
gen-ai/vector-db-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
machine-learning/deep-learning-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
machine-learning/ml-essentials-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
machine-learning/ml-fundamentals-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
machine-learning/neural-networks-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
machine-learning/pytorch-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
machine-learning/sklearn-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
machine-learning/transformers-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
mlops/kubeflow_handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
mlops/langsmith-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
mlops/mlflow-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
mlops/mlops-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
mlops/wandb-enterprise-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
networking/cloud-networking-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
networking/networking-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
observability/chaos-engineering-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
observability/distributed-tracing-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
observability/opentelemetry-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
platform/palantir-foundry-developer-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
python/django-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
python/jupyter-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
python/python-201-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
python/python-fastapi-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
python/python101_handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
python/python301_handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
python/uvicorn-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
security/ai-security-and-adversarial-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
security/secops-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
security/software-supply-chain-security-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
security/zero-trust-architecture-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
tooling/claude-code-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
tooling/dev-containers-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
tooling/github-copilot-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
tooling/llamacpp_handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
tooling/llm-api-standards-tooling-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
